50 Cent|60 Cent|1975-07-06
Gary Busey|Gavin Bussi|1944-06-29
Gary Cole|Gerry Cold|1956-09-20
Gary Cooper|Gerry Cooping|1901-05-07 – 1961-05-13
Gary Dauberman|Garett Daubermensch|19xx
Gary Dourdan|Gerard Durban|1966-12-11
Gary Farmer|Gerry Farming|1953-06-12
Gary Friedkin|Gavin Fredking|1952-11-23 – 2022-12-02
Gary Goddard|Gavin Gotthart|1954-07-18
Gary Graham|Greyson Garret|1950-06-06 – 2024-01-22
Gary Gray|Gerry Green|1936 – 2006-04-04
Gary J. Tunnicliffe|Gavin J. Tunderclippe|1968-02-27
Gary Kemp|Greyson Komp|1959-10-16
Gary Lewis|Gerard Louis|1958-11-30
Gary Lockwood|Gary Lockwald|1937-02-21
Gary Nelson|Gerry Nielsen|1934-10-06 – 2022-05-25
Gary Oldman|Larry Moldman|1958-03-21
Gary Raymond|Garett Reynold|1935-04-20
Gary Robbins|Garett Hoppins|1957-09-09 – 2013-12-11
Gary Ross|Gerry Horse|1956-11-03
Gary Sherman|Garett Sherwin|1945-08-28
Gary Shore|Gavin Short|1981
Gary Sinise|Gerard Sinosi|1955-03-17
Gary Trousdale|Gavin Troutsdeal|1960-06-08
Gaspar Noé|Gaston Noir|1963-12-27
Gaspard Ulliel|Gaston Ullier|1984-11-25 – 2022-01-19
Gastner Legerme|Gaston Leverme|
Gastone Moschin|Giustino Moscar|1929-06-08 – 2017-09-04
GaTa|GoaTo|1987
Gaten Matarazzo|Garin Matrenazzi|2002-09-08
Gates McFadden|Bates McFading|1949-03-02
Gavin Hood|Gary Hut|1963-05-12
Gavin O'Connor|Gary O'Connell|1963-12-24
Gayle Hunnicutt|Gaila Hunnitrap|1943-02-06 – 2023-08-31
Gayle Rankin|Galen Ranson|1989-08-01
Gaylen Ross|Gerlen Horse|1950-08-15
Gaëtan Brizzi|Gaëtan Bruzzo|1951-12-24
Geena Davis|Gina Davids|1956-01-21
Gemma Arterton|Gloria Arnerten|1986-02-02
Gemma Chan|Gloria Chen|1982-11-29
Gemma Jones|Gloria James|1942-12-04
Gena Lee Nolin|Gina Lee Nullin|1971-11-29
Gena Rowlands|Gina Rowans|1930-06-19 – 2024-08-14
Gene Barry|Glen Barlowe|1919-06-14 – 2009-12-09
Gene Hackman|Glen Hackerman|1930-01-30 – 2025-02-18
Gene Kelly|Glen Kelle|1912-08-23 – 1996-02-02
Gene Krupa|Gwen Krupin|1909-01-15 – 1973-10-16
Gene Levitt|Glen Lovitt|1920-05-28 – 1999-11-15
Gene Lockhart|Glenn Lockhertz|1891-07-18 – 1957-03-31
Gene Quintano|Glen Quatrano|1946
Gene Raymond|Geno Reynold|1908-08-13 – 1998-05-02
Gene Roddenberry|Glen Rottenbeery|1921-08-19 – 1991-10-24
Gene Saks|Glen Waks|1921-11-08 – 2015-03-28
Gene Stupnitsky|Glenn Stupidsky|1977-08-26
Gene Tierney|Gwen Torney|1920-11-19 – 1991-11-06
Gene Wilder|Glen Wildest|1933-06-11 – 2016-08-29
Genesis Rodriguez|Geneva Ramirez|1987-07-29
Geneviève Bujold|Géraldine Bureau|1942-07-01
Geneviève Grad|Géraldine Grad|1944-07-05 – 2024-11-07
Geneviève Page|Géraldine Paige|1927-12-13 – 2025-02-14
Gennaro Nunziante|Geraldo Nuncione|1963-10-30
Genndy Tartakovsky|Gennar Tarkarevsky|1970-01-17
Geoff Murphy|Greg Morphie|1938-10-12 – 2018-12-03
Geoffrey Arend|Griffin Arlon|1978-02-28
Geoffrey Holder|Godfrey Halter|1930-08-01 – 2014-10-05
Geoffrey Horne|George F. Hearn|1933-08-22
Geoffrey Keen|Jeffrey Knee|1916-08-21 – 2005-11-03
Geoffrey Lewis|Gregory Louis|1935-07-31 – 2015-04-07
Geoffrey Moore|Jeffrey Muir|1966-07-28
Geoffrey Rush|Jeffrey Rash|1951-07-06
Georg Einerdinger|Gerhard Einzeldinger|1941-04-26 – 2015-01-05
Georg Stanford Brown|Gerald Stanford Braun|1943-06-24
Georg Thomalla|Gerhard Tramollo|1915-02-14 – 1999-08-25
Georg Uecker|Gottfried Ulmer|1962-11-06
George A. Romero|Geoff A. Romeo|1940-02-04 – 2017-07-16
George B. Seitz|Geoffrey Selz|1888-01-03 – 1944-07-08
George Babluani|Georgi Bablaiani|
George Brent|Gareth Brad|1904-03-15 – 1979-05-26
George Burns|Greg Buns|1896-01-20 – 1996-03-09
George C. Scott|Geoff C. Scotch|1927-10-18 – 1999-09-22
George C. Wolfe|Geoff C. Wulfen|1954-09-23
George Carlin|Greg Carlene|1937-05-12 – 2008-06-22
George Chakiris|Geoff Chalikris|1932-09-16
George Chandler|Greg Candling|1898-06-30 – 1985-06-10
George Chesebro|Greg Cheesbru|1888-07-29 – 1959-05-28
George Cleveland|Gregory Colorado|1885-09-17 – 1957-07-15
George Clinton|Geoff Clinktone|1941-07-22
George Clooney|Geoff Cloonme|1961-05-06
George Cole|Gareth Cold|1925-04-22 – 2015-08-05
George Cukor|Greg Cokker|1899-07-07 – 1983-01-24
George Dzundza|Geoff Dzunder|1945-07-19
George Eads|Geoff Eaps|1967-03-01
George Eastman|Greg Westman|1942-08-16
George Finn|Glen Fonn|1990-01-21
George Furth|Jorge Forst|1932-12-14 – 2008-08-11
George Gaynes|Geoff Geynns|1917-05-16 – 2016-02-15
George Gershwin|Greg Gorshwin|1898-09-26 – 1937-07-11
George H.W. Bush|Geoff H.W. Blush|1924-06-12 – 2018-11-30
George Hamilton|Geoff Hammerton|1939-08-12
George Harris|Geoff Harrels|1949-10-20
George Harrison|Geoff Harrelsen|1943-02-25 – 2001-11-29
George Kennedy|Jorge Remedy|1925-02-18 – 2016-02-28
George King|Greg Koenig|1899 – 1966-06-26
George Lazenby|Greg Lanzenbey|1939-09-05
George Lucas|Jorge Luckass|1944-05-14
George MacKay|Geoff MacKen|1992-03-13
George Macready|Greg Macsteady|1899-08-29 – 1973-07-02
George Marshall|Greg Marshman|1891-12-29 – 1975-02-17
George Miller|Geoff Mueller|1945-03-03
George Montgomery|Greg Montgunnery|1916-08-27 – 2000-12-12
George Newbern|Greg Neuborn|1964-12-30
George O'Brien|Greg O'Bryan|1899-04-19 – 1985-09-04
George Orwell|Greg Earwell|1903-06-25 – 1950-01-21
George P. Cosmatos|Geoffrey P. Casmotis|1941-01-04 – 2005-04-19
George P. Wilbur|Geoff P. Wilfried|1941-03-06 – 2023-02-01
George Pal|Greg Pill|1908-02-01 – 1980-05-02
George Peppard|Geoff Pfeffart|1928-10-01 – 1994-05-08
George Pollock|Geoff Bollock|1907-03-27 – 1979-12-22
George R. Robertson|Geoffrey Richardson|1933-04-20 – 2023-01-29
George Raft|Gregg Taft|1901-09-26 – 1980-11-24
George Reeves|Greg Reels|1914-01-05 – 1959-06-16
George Roy Hill|Geoff Roy Mill|1921-12-20 – 2002-12-27
George S. Patton|George T. Petting|1885-11-11 – 1945-12-21
George Sanders|Greg Sonders|1906-07-03 – 1972-04-25
George Scribner|Jorge Scriptner|1952-09-28
George Seaton|Geoff Seating|1911-04-17 – 1979-07-28
George Segal|Geoff Seagul|1934-02-13 – 2021-03-23
George Sidney|Greg Syltney|1916-10-04 – 2002-05-05
George Stevens|Geoff Stephans|1904-12-18 – 1975-03-08
George T. Miller|Geoff T. Mueller|1943-11-28 – 2023-02-17
George Takei|Greg Taikey|1937-04-20
George Tenet|Greg Tenant|1953-01-05
George Tillman Jr.|Geoff Tallmen Jr.|1969-01-26
George Voskovec|Gerald Voskevic|1905-06-19 – 1981-07-01
George W. Bush|Geoff W. Blush|1946-07-06
George Wendt|Geoff Wandt|1948-10-17 – 2025-05-20
George Young|Gregory Jung|1980-02-29
Georges Biscot|Gilles Bissard|1886-09-15 – 1945-12-17
Georges Guétary|Gilles Guéymard|1915-02-08 – 1997-09-13
Georges Lautner|Geoffrey Leisner|1926-01-24 – 2013-11-22
Georges Méliès|Georges Mesplès|1861-12-08 – 1938-01-21
Georgie Henley|Georgia Humley|1995-07-09
Ger Ryan|Ger Randy|
Geraint Wyn Davies|Gideon Wyn Dennies|1957-04-20
Gerald McRaney|Gerald McRomney|1947-08-19
Gerald Potterton|Gilbert Potterson|1931-03-08 – 2022-08-23
Geraldine Brooks|Gwendoline Brucks|1925-10-29 – 1977-06-19
Geraldine Chaplin|Geraldine Chatkin|1944-07-31
Geraldine Fitzgerald|Gwendoline Fitzpatrick|1913-11-24 – 2005-07-17
Geraldine Hughes|Gwendolyn Hulls|1970
Geraldine Page|Gwendolyn Paige|1924-11-22 – 1987-06-13
Geraldine Viswanathan|Gwendoline Vishnaran|1995-06-20
Gerard Butler|Gerald Bettler|1969-11-13
Gerard Johnstone|Gerald Jamestown|
Gerard McMurray|Gerald McMoray|19xx
Gerd Duwner|Gert Döwner|1925-11-15 – 1996-05-10
Gerd Müller|Gert Meier|1945-11-03 – 2021-08-15
Gerd Schönfelder|Götz Schöngärtner|1936-04-27 – 2000-11-21
Gerda Hasselfeldt|Gabi Hasselwies|1950-07-07
Gerda Maurus|Berta Mauers|1903-08-25 – 1968-07-27
Gerhard Hahn|Gerald Huhne|1946-11-27
Gerhard Lamprecht|Gernot Lantrecht|1897-10-06 – 1974-05-04
Gerhard Polt|Gerhold Pult|1942-05-07
Gerhard Schröder|Gerald Schröler|1944-04-07
Gerhard Wollner|Georg Wolling|1917-07-28 – 1997-05-27
Geri Halliwell|Geri Halligall|1972-08-06
Gernot Möhner|Gerhard Mörner|
Gerrit Graham|Graham Garrett|1949-11-27
Gerry Becker|Gary Baker|1951-04-11 – 2019-04-13
Gerry Lively|Gary Lovely|19xx
Gerry Lopez|Gary Lupes|1948-11-07
Gerry O'Hara|Gary O'Hagan|1924-10-01 – 2023-01-09
Gert Fröbe|Gerd Möbel|1913-02-25 – 1988-09-05
Gert Haucke|Gerd Hacke|1929-03-13 – 2008-05-30
Gertrude Welcker|Gabriele Wolker|1896-07-16 – 1988-08-01
Gia Carides|Gina Carridos|1964-06-07
Gian Maria Volonté|Gian Milena Vollanté|1933-04-09 – 1994-12-06
Giancarlo Esposito|Gianfranco Epolito|1958-04-26
Giancarlo Giannini|Gianluca Giannone|1942-08-01
Giancarlo Prete|Gianfranco Pretti|1943-02-05 – 2001-03-09
Gianfranco Barra|Giancarlo Barro|1940-04-05 – 2025-03-23
Gianna Maria Canale|Giulia Maria Canaro|1927-09-12 – 2009-02-13
Gianni Garko|Guido Gardel|1935-07-15
Gianni Macchia|Gino Maccari|1943-06-17
Gianni Versace|Guido Versacci|1946-12-02 – 1997-07-15
Gig Young|Gage Jung|1913-11-04 – 1978-10-19
Gigi Proietti|Gini Proletto|1940-11-02 – 2020-11-02
Gil Birmingham|Gal Buckingham|1953-07-13
Gil Junger|Gal Jungman|1954-11-07
Gil Kenan|Gal Kedar|1976-10-16
Gil Kolirin|Gal Kolleren|1975-04-23
Gil McKinney|Gal McKellan|1979-02-05
Gilbert Adler|Gerald Adlig|1946-02-14
Gilbert Lani Kauhi|Gilford Lani Keahi|1937-10-17 – 2004-05-03
Gilles de Maistre|Georges de Manet|1960-05-08
Gilles Lellouche|Georges Lelong|1972-07-05
Gillian Anderson|Ginger L. Andresen|1968-08-09
Gillian Armstrong|Ginger L. Armstark|1950-12-18
Gillian Jacobs|Ginger L. Josephs|1982-10-19
Gina Carano|Geena Carame|1982-04-16
Gina Gershon|Gia Getson|1962-06-10
Gina Gin|Gia Gon|1990-09-05
Gina Holden|Gena Holding|1975-03-17
Gina Lollobrigida|Gina Roflobrigida|1927-07-04 – 2023-01-16
Gina McKee|Geena McKay|1964-04-14
Gina Philips|Geena Philbers|1970-05-10
Gina Prince-Bythewood|Gena Prynz-Blithewald|1969-06-10
Gina Rodriguez|Gena Ramirez|1984-07-30
Gina Rovere|Gena Roveno|1935-05-05
Ginger Lynn|Ginny Lienne|1962-12-14
Ginger Rogers|Ginger Richards|1911-07-16 – 1995-04-25
Ginnifer Goodwin|Ginnyfer Goulden|1978-05-22
Gino Pernice|Gino Percine|1927-05-06 – 1997-04-25
Giorgia Moll|Giada Mull|1938-01-14
Giorgio Cantarini|Giordano Conterani|1992-04-12
Giorgio Cataldi|Giordano Catani|1950-11-11
Giorgio Colangeli|Giordano Colentini|1949-12-14
Giovanni Ribisi|Giancarlo Rubesi|1974-12-17
Girish Karnad|Giren Karman|1938-05-19 – 2019-06-10
Gisela Hahn|Gisele Huhn|1943-05-13
Gisela Krauss|Gundula Krauts|
Gisela Meyen|Gisele Mayem|
Gisela Schneeberger|Gesine Eisberger|1948-10-03
Gisele Bündchen|Giselle Bündlein|1980-07-20
Giselle Itié|Gisele Iltié|1981-10-03
Gisken Armand|Grete Arnault|1962-11-26
Gita Hall|Gina Mall|1933-09-06 – 2016-08-13
Giuliano Gemma|Girolamo Gamma|1938-09-02 – 2013-10-01
Giulietta Masina|Gabriella Masini|1921-02-22 – 1994-03-23
Giuseppe Andrews|Giustino Androids|1979-04-25
Giuseppe Battiston|Giustino Barbiston|1968-07-22
Giuseppe Colizzi|Giustino Colucci|1925-06-28 – 1978-08-23
Giuseppe Moccia|Giustino Moggi|1933-06-22 – 2006-08-20
Giwar Hajabi|Giwal Hamebi|1981-12-24 – 2025-05-08
Gladys Cooper|Georgia Cooping|1888-12-18 – 1971-11-17
Gladys George|Georgia Glayd|1904-09-13 – 1954-12-08
Glen A. Larson|Greg A. Larssen|1937-01-03 – 2014-11-14
Glen Campbell|Gene Cantwell|1936-04-22 – 2017-08-08
Glen Hansard|Glenn Hansert|1970-04-21
Glen Powell|Glenn Prowler|1988-10-21
Glenda Farrell|Greta Ferret|1904-06-30 – 1971-05-01
Glendyn Ivin|Gledan Ivayne|19xx
Glenn Aucoin|Greg Aicoin|
Glenn Close|Gwen Closer|1947-03-19
Glenn Ford|Greg Forth|1916-05-01 – 2006-08-30
Glenn Greenwald|Gene Gruenwood|1967-03-06
Glenn Jacobs|Gene Josephs|1967-04-26
Glenn Jordan|Gabe Jorden|1936-04-05
Glenn Miller|Glen Mueller|1904-03-01 – 1944-12-15
Glenn Morshower|Gabe Munshower|1959-04-24
Glenn Plummer|Glen Plunder|1961-08-18
Glenn Quinn|Glenn Quinch|1970-05-28 – 2002-12-03
Glenne Headly|Gwenne Hardley|1955-03-13 – 2017-06-08
Gloria Colston|Grace A. Caldon|2004
Gloria Foster|Gemma Foerster|1933-11-15 – 2001-09-29
Gloria Hendry|Gundula Harrick|1949-03-03
Gloria Henry|Gemma Harry|1923-04-02 – 2021-04-03
Gloria Stuart|Grace A. Stewart|1910-07-04 – 2010-09-26
Gloria Swanson|Grace A. Swansun|1899-03-27 – 1983-04-04
Gloria von Thurn und Taxis|Gundula von Taug und Thunix|1960-02-23
Glynis Johns|Glynnis Jacks|1923-10-05 – 2024-01-04
Glynn Turman|Glyder Turlen|1947-01-31
Glynnis O'Connor|Glynis O'Connell|1956-11-19
Godfrey Cambridge|Geoffrey Cambray|1933-02-26 – 1976-11-29
Goldie Hawn|Silvie Fawn|1945-11-21
Golshifteh Farahani|Golvaneh Fararami|1983-07-10
Goran Višnjić|Gavran Vinjić|1972-09-09
Gordian Maugg|Gorbian Mangk|1966-05-23
Gordon Douglas|Gorden Duckless|1907-12-15 – 1993-09-29
Gordon Mitchell|Gorden Michael|1923-07-29 – 2003-09-20
Gordon Oas-Heim|Gorden Oaf-Hoam|1926-09-16 – 2015-06-05
Gordon Pinsent|Gorden Pinsel|1930-07-12 – 2023-02-25
Gordon Ramsay|Gorden Rimsey|1966-11-08
Gordon Warnecke|Gorden Warnhacke|1962-08-24
Gore Verbinski|Gore Vordinski|1964-03-16
Gorō Miyazaki|Goro Miyazato|1967-01-21
Gorō Taniguchi|Goro Tamaguchi|1966-10-18
Gottfried John|Gottlieb Jahn|1942-08-29 – 2014-09-01
Goya Toledo|Gina Torrero|1969-09-24
Grace Glowicki|Gloria Glovenski|
Grace Jones|Grace James|1948-05-19
Grace Kelly|Greis Kelle|1929-11-12 – 1982-09-14
Grace Lynn Kung|Gwen Lynn Kong|1987
Graham Baker|Garen Becker|
Graham Chapman|Garen Chatman|1941-01-08 – 1989-10-04
Graham Greene|Garen Gruen|1952-06-22 – 2025-09-01
Graham McTavish|Garrett McTarnish|1961-01-04
Graham Moore|Garen Muir|1981-10-18
Graham Norton|Gerrit Nortling|1963-04-04
Grandmaster Flash|Grandmixer Flesh|1958-01-01
Grandmaster Flash and the Furious Five|Grandmixer Flesh and the Ferocious Five|
Grant Cramer|Gale Crauser|1961-11-10
Grant Harvey|Gale Howard|1984-06-30
Grant Show|Gage Slow|1962-02-27
Greer Garson|Grace Geersen|1904-09-29 – 1996-04-06
Greer Grammer|Grace Graham|1992-02-15
Greg Kinnear|Grant Kinderear|1963-06-17
Greg MacGillivray|Geoff MacGillisrey|1945
Greg McLean|George McLane|
Greg Mottola|Grant Mottini|1964-07-11
Greg Strangis|George Strengers|
Greg Strause|George Strays|1975-01-16
Gregg Araki|George Arano|1959-12-17
Gregg Henry|Greg Harry|1952-05-06
Gregor Fisher|George Fishing|1953-12-22
Gregor Gysi|Georg Geysi|1948-01-16
Gregor Schnitzler|Georg Schneider|1964
Gregory Alan Williams|Gabriel Allen Wilhelms|1956-06-12
Gregory Dark|Godfrey Darker|1957-07-12
Gregory Hines|Geoffrey Heynes|1946-02-14 – 2003-08-09
Gregory Hoblit|Geoffrey Hobbit|1944-11-27
Gregory Jacobs|Geoffrey Josephs|1968-08-14
Gregory Peck|Greg O. Ray Pick|1916-04-05 – 2003-06-12
Gregory Plotkin|George Y. Plotman|1975
Gregory Walcott|Gabriel Walglatt|1928-01-13 – 2015-03-20
Greta Garbo|Grete Gabro|1905-09-18 – 1990-04-15
Greta Gerwig|Grete Garwick|1983-08-04
Greta Lee|Grete Li|1983-03-07
Greta Scacchi|Gundula Scocchi|1960-02-18
Greta Schröder|Grete Schröler|1892-06-27 – 1980-06-08
Gretchen Corbett|Gretel Corvette|1947-08-13
Gretchen Mol|Gretel Moin|1972-11-08
Grethe Weiser|Greta Wisser|1903-02-27 – 1970-10-02
Greydon Clark|Grayson Clerk|1943-02-07
Griff Giacchino|Garth Giacchotti|
Griffin Dunne|Geoffrey Duenn|1955-06-08
Griffin Murray-Johnston|Geoffrey Morrey-Jameston|
Grigori Aleksandrov|Georgiy Alekseyev|1903-01-23 – 1983-12-16
Grimes|Grumes|1988-03-17
Grit Boettcher|Gritt Boettich|1938-08-10
Groovin' Gary|Groovy Gerry|
Grégory Gadebois|Gaston Garnebois|1976-07-24
Guan Zhe|Garin Zhon|1981-04-23
Gudrun Landgrebe|Gunda Landsreber|1950-06-20
Gugu Mbatha-Raw|Gege Mkhatha-Roe|1983-04-21
Guido Gagliardi|Giulio Gagliani|1937-09-27 – 1996-06-30
Guido Mannari|Gianni Marnari|1944-12-13 – 1988-08-10
Guilherme Winter|Gustavo Wintrig|1979-08-28
Guillaume Canet|Grégoire Cano|1973-04-10
Guillaume de Tonquédec|Grégoire de Torrelec|1966-10-18
Guillermo del Toro|Guillermo del Torso|1964-10-09
Guillermo Francella|Guillermo Frandella|1955-02-14
Guillermo Toledo|Guillermo Torrero|1970-05-22
Gunnar Björnstrand|Gustav Björkstrand|1909-11-13 – 1986-05-26
Gunnar Hansen|Gunner Handser|1947-03-04 – 2015-11-07
Gunter Otto|Günther Otting|1936-07-07 – 1999-07-13
Guo Tao|Gian Tan|1969-12-17
Gurinder Chadha|Gayatri Chandok|1960-01-10
Gus Halper|Garth Halpme|1992-07-02
Gus Van Sant|Garth Von Sunt|1952-07-24
Guslagie Malanda|Galadie Malandor|1990
Gustaf Gründgens|Gustav Grüngans|1899-12-22 – 1963-10-07
Gustaf Hammarsten|Gustav Hammarström|1967-09-02
Gustaf Skarsgård|Gustav Skogsgård|1980-11-12
Gustav Fröhlich|Gustaf Frohlied|1902-03-21 – 1987-12-22
Gustav Knuth|Gunther Kurd|1901-07-07 – 1987-02-01
Gustav Lindh|Gunnar Lindt|1995-06-04
Gustav Peter Wöhler|Gunther Paule Wühler|1956-07-31
Gustav von Wangenheim|Gustaf von Wangerhaus|1895 – 1975-08-05
Guy Grosso|Gaël Grassi|1933-08-19 – 2001-02-14
Guy Hamilton|Gaye Hammerton|1922-09-16 – 2016-04-20
Guy Madison|Ruy Matterson|1922-01-19 – 1996-02-06
Guy Pearce|Gaye Pierce|1967-10-05
Guy Ritchie|Ruy Stitchie|1968-09-10
Guz Khan|Gaz Kaul|1986
Gwen Stefani|Gwyn Staffani|1969-10-03
Gwendoline Christie|Geraldine Krissy|1978-10-28
Gwilym Lee|Gruffydd Ley|1983-11-24
Gwyneth Paltrow|Gwyneth Baltrow|1972-09-27
Gwynne Gilford|Gwen Gilbert|1946-07-27
Géla Babluani|Gérard Bablaiani|1979
Gérard Barray|Gérald Barrière|1931-11-02 – 2024-02-15
Gérard Darmon|Gérald Darnel|1948-02-29
Gérard Depardieu|Gérald Demondieu|1948-12-27
Gérard Jugnot|Gérald Junot|1951-05-04
Gérard Krawczyk|Gérald Krowczek|1953-05-17
Gérard Loubeau|Gérald Lousteau|
Gérard Oury|Géry Ouvrard|1919-04-29 – 2006-07-19
Gérard Pirès|Gérald Pilée|1942-08-31
Géza Kovács|Gáspár Kozma|
Géza von Cziffra|Gergő von Czakó|1900-12-19 – 1989-04-28
Götz George|Georg Götzke|1938-07-23 – 2016-06-19
Götz Otto|Ottmar Götzke|1967-10-15
Günter Grass|Gunther Krass|1927-10-16 – 2015-04-13
Günter Lamprecht|Gunther Lantrecht|1930-01-21 – 2022-10-04
Günter Pfitzmann|Gunther Pfützmensch|1924-04-08 – 2003-05-30
Günter Wallraff|Gunther Raffwall|1942-10-01
Günther Kaufmann|Gunter Kaufring|1947-06-16 – 2012-05-10
Günther Kieslich|Gunter Kiesler|1926-08-25
Günther Lüders|Gunter Lüdings|1905-03-05 – 1975-03-01
Günther Maria Halmer|Gunnar Maria Hanfer|1943-01-05
Güven Kiraç|Güray Kivanç|1960-04-05
H. C. Potter|C. H. Pottle|1904-11-13 – 1977-08-31
H. Rider Haggard|H. Ryder Higgard|1856-06-22 – 1925-05-14
H.B. Haggerty|B.H. Hargarty|1925-04-02 – 2004-01-27
H.B. Halicki|B.H. Hevlicki|1940-10-18 – 1989-08-20
H.E.R.|S.H.E.|1997-06-27
Hadley Robinson|Hattie Robensen|1995-01-07
Hae-hyo Kwon|Hoon-kyu Kwan|1965-11-06
Hae-il Park|Hae-jin Pork|1977-01-26
Hafþór Júlíus Björnsson|Hörður Júlíus Brjánsson|1988-11-26
Hai Qing|Han Quin|1978-01-12
Haibo Gao|Huibo Guo|
Haile Gebrselassie|Helle Geberlassy|1973-04-18
Hailee Steinfeld|Hayden Steinfell|1996-12-11
Hailu Qin|Haia Qen|1978-08-11
Haing S. Ngor|Harin S. Ngar|1940-03-22 – 1996-02-25
Hajo Gies|Hape Grieß|1945-03-16
Hal Ashby|Hank Ashben|1929-09-02 – 1988-12-27
Hal Holbrook|Hale Hellbroke|1925-02-17 – 2021-01-23
Hal Needham|Hart Needler|1931-03-06 – 2013-10-25
Hal Roach|Hank Croach|1892-01-14 – 1992-11-02
Hal Roach Jr.|Hank Croach Jr.|1918-06-15 – 1972-03-29
Hal Walker|Hank Walking|1896-03-29 – 1972-07-03
Haley Bennett|Harlee Bennson|1988-01-07
Haley Joel Osment|Harvey Joel Osmose|1988-04-10
Haley Lu Richardson|Hayley Lu Robertson|1995-03-07
Haley Webb|Holly Waeb|1985-11-25
Halin Chen|Hanyin Chan|2013-09-03
Halina Reijn|Hanneke Ruijs|1975-11-10
Hall Bartlett|Hale Bertler|1922-11-27 – 1993-09-07
Halle Bailey|Haley Barley|2000-03-27
Halle Berry|Haley Beery|1966-08-14
Han Geng|Hao Gong|1984-02-09
Han Han|Ham Ham|1982-09-23
Han Lu|Hao Lo|1990-04-20
Han Yan|Hao Yin|1986-11-16
Hank Azaria|Hal Arazzia|1964-04-25
Hannah Emily Anderson|Halley Emily Andresen|1989-09-01
Hannah Gordon|Hanne Garden|1941-04-09
Hannah Herzsprung|Hanne Herzspreng|1981-09-07
Hannah John-Kamen|Hanna James-Kammer|1989-09-07
Hannah Quinlivan|Hanna Quinlade|1993-08-12
Hanne Wieder|Hannah Weiter|1925-05-08 – 1990-05-11
Hannelore Elsner|Hannah Lore Elster|1942-07-26 – 2019-04-21
Hannelore Schroth|Hannah Lore Schroff|1922-01-10 – 1987-07-07
Hannes Holm|Jonas Hohl|1962-11-26
Hannes Messemer|Hanno Müssema|1924-05-17 – 1991-11-02
Hanno Pöschl|Heino Püschl|1949-07-02
Hanns Christian Müller|Hanns Christopher Meier|1949-04-14
Hanns Zischler|Heinn Wischler|1947-06-18
Hans Albers|Heinz Alberns|1891-09-22 – 1960-07-24
Hans Billian|Hein Belleran|1918-04-15 – 2007-12-18
Hans Clarin|Hanns Clavier|1929-09-14 – 2005-08-28
Hans Deppe|Heinz Doofe|1897-11-12 – 1969-09-23
Hans Grimm|Hans Gram|1905-01-30 – 2001
Hans Helmut Dickow|Heinz Helmut Dockeff|1927-04-14 – 1989-12-18
Hans Henning Claer|Hein Henning Cloar|1931-12-30 – 2002-12-25
Hans Holt|Horst Halt|1909-11-22 – 2001-08-03
Hans Leibelt|Heinz Lübelt|1885-03-11 – 1974-12-03
Hans Matheson|Horst Matikson|1975-08-07
Hans Müller|Heinz Meier|1909-04-19 – 1977-02-17
Hans Nielsen|Heinz Nelson|1911-11-30 – 1965-10-11
Hans Peter Hallwachs|Horst Peter Hellwachs|1938-07-10 – 2022-12-16
Hans Peter Korff|Heinz Peter Kuff|1942-08-24 – 2025-03-09
Hans Quest|Horst Quast|1915-08-20 – 1997-03-29
Hans Strydom|Hannes Streidom|1947-05-14
Hans Stüwe|Heinz Ströwe|1901 – 1976
Hans W. Geißendörfer|Horst W. Ziegenstädter|1941-04-06
Hans Werner Henze|Heinz Werner Hanse|1926-07-01 – 2012-10-27
Hans Werner Meyer|Heinz Werner Mayr|1964-04-14
Hans Werner Olm|Heinz Werner Omm|1955-02-01
Hans Zhang|Hein Zheng|1984-10-06
Hans Zimmer|Hans Raum|1957-09-12
Hans-Christian Schmid|Horst-Christian Schmitt|1965-08-19
Hans-Dietrich Genscher|Heinz-Dieter Ganschler|1927-03-21 – 2016-03-31
Hans-Joachim Kasprzik|Heinz-Joachim Kasprczek|1928-08-14 – 1997-10-10
Hans-Joachim Kulenkampff|Hans-Jonathan Keulenkopff|1921-04-27 – 1998-08-14
Hansjörg Felmy|Herrmann Follmy|1931-01-31 – 2007-08-24
Hanyu Zhang|Hiro Zheng|1964-12-19
Hao Ning|Han Nien|1977-09-09
Hao Ou|Han Oun|1992-10-13
Haocun Liu|Haolin Lui|2000-05-20
Haoran Liu|Haitao Lui|1997-10-10
Hape Kerkeling|Hajo Korkelig|1964-12-09
Harald Juhnke|Harry Junker|1929-06-10 – 2005-04-01
Harald Leipnitz|Harry Leebnitsch|1926-04-22 – 2000-11-21
Harald Philipp|Philip Harold|1921-04-24 – 1999-07-05
Harald Reinl|Herold Rainderl|1908-07-08 – 1986-10-09
Harald Schäfer|Herbert Schächter|1931-01-14 – 2001-09-10
Harald Siepermann|Hartmut Siebermann|1962-06-10 – 2013-02-16
Harald Zwart|Herman Zwurz|1965-07-01
Harcourt Williams|Hedworth Wilhelms|1880-03-30 – 1957-12-13
